,Company name,Job title,Working model,Job Type,Required Experience ,Salary
225,ReformedTech,𝗦𝗲𝗻𝗶𝗼𝗿 𝗗𝗮𝘁𝗮 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿,On Site,Full time,More than 5 years,150k-200k
226,Sazim tech Ltd.,𝐅𝐮𝐥𝐥-𝐒𝐭𝐚𝐜𝐤 𝐒𝐨𝐟𝐭𝐰𝐚𝐫𝐞 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫 (𝐑𝐮𝐛𝐲/𝐑𝐚𝐢𝐥𝐬),On Site,Full time,Less than 2 years ,50k-70k
227,Cloudly,Mobile App Developer (React Native),On Site,Full time,Less than 2 years ,30k-60k
228,𝗧𝗲𝗸𝗮𝗿𝘀𝗵,𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿 ,On Site,Full time,More than 2 years,100k+
229,EchoLogyx,PHP DEVELOPER,On Site,Full time,Less than 2 years ,35k-50k
230,Software Global Consultancy,Frontend Developer (React),On Site,Full time,More than 2 years,50k-70k
231,RAZIN SOFT,Flutter Developer,On Site,Full time,Less than 2 years ,20k-40k
232,Urban IT Solution,Marketing Executive (Software Sales),On Site,Full time,More than 2 years,30k-50k
233,Nordstreet,Senior Symfony Developer,Remote,Full time,More than 4 years,100k-200k
234,Razinsoft,WEB DEVELOPER,On Site,Full time,More than 2 years,20k-40k
235,Ontik Technology,Engineering Manager,On Site,Full time,More than 4 years,60k-80k
236,ASL Systems,Junior Software Developer - Python,On Site,Full time,Fresher,Negotiable
237,Bssoln,Trainee Software Engineer,On Site,Full time,Fresher,15k-25k
238,Cloudly,UI UX Designer,On Site,Full time,Less than 2 years ,50k-70k
239,Quad Theory Ltd,Dot Net Intern,Remote,Full time,Fresher,5k
240,Spaceship,Laravel Back-End Developer,On Site,Full time,More than 2 years,Negotiable
241,Polydynamic,Senior Unity 3D Engineer,Remote,Full time,More than 3 years,50k-100k
242,Spaceship,SQA Engineer,On Site,Full time,Less than 2 years ,Negotiable
243,Empire Pixel,Android App Developer,On Site,Full time,More than 2 years,80k
244,Dream71 Bangladesh Limited,QA Engineer (Intern),On Site,Full time,Fresher,5k
245,HelloPay,Software Engineers,On Site,Full time,More than 3 years,80k
246,Hope IT Solutions,Front-End Developer (Nuxt.js),On Site,Full time,More than 3 years,25k-30k
247,Bevy Commerce,Full Stack Developer,Remote,Full time,Less than 2 years ,40k-80k
248,Bevy Commerce,Senior Full Stack Developer,Remote,Full time,More than 5 years,80k-140k
